grid_id,institution,city,state,country
grid.1052.6,Ludwig Cancer Research,New York,New York,United States
grid.1108.8,Naval Postgraduate School,Monterey,California,United States
grid.1214.6,Smithsonian Institution,Washington D.C.,District of Columbia,United States
grid.1403.6,Arup Group,Cambridge,Massachusetts,United States
grid.1658.a,Washington State Department of Health,Olympia,Washington,United States
grid.2294.d,Luther College,Decorah,Iowa,United States
grid.2515.3,Boston Children's Hospital,Boston,Massachusetts,United States
grid.2865.9,United States Geological Survey,Reston,Virginia,United States
grid.3393.a,Hypres,Elmsford,New York,United States
grid.3532.7,National Oceanic and Atmospheric Administration,Washington D.C.,District of Columbia,United States
grid.3613.7,Boys Town,Omaha,Nebraska,United States
grid.4367.6,Washington University in St. Louis,St Louis,Missouri,United States
grid.4391.f,Oregon State University,Corvallis,Oregon,United States
grid.4437.4,World Health Organization Regional Office for the Americas,Washington D.C.,District of Columbia,United States
grid.5288.7,Oregon Health & Science University,Portland,Oregon,United States
grid.5386.8,Cornell University,Ithaca,New York,United States
grid.9001.8,Morehouse School of Medicine,Atlanta,Georgia,United States
grid.10698.36,University of North Carolina at Chapel Hill,Chapel Hill,North Carolina,United States
grid.14003.36,University of Wisconsin–Madison,Madison,Wisconsin,United States
grid.14617.35,Association of Science-Technology Centers,Washington D.C.,District of Columbia,United States
grid.15276.37,University of Florida,Gainesville,Florida,United States
grid.16416.34,University of Rochester,Rochester,New York,United States
grid.16694.3c,Joslin Diabetes Center,Boston,Massachusetts,United States
grid.16750.35,Princeton University,Princeton,New Jersey,United States
grid.16753.36,Northwestern University,Evanston,Illinois,United States
grid.17088.36,Michigan State University,East Lansing,Michigan,United States
grid.17635.36,University of Minnesota,Minneapolis,Minnesota,United States
grid.17866.3e,California Pacific Medical Center,San Francisco,California,United States
grid.19006.3e,"University of California, Los Angeles",Los Angeles,California,United States
grid.20431.34,University of Rhode Island,Kingston,Rhode Island,United States
grid.20505.32,Public Health Institute,Oakland,California,United States
grid.20627.31,Ohio University,Athens,Ohio,United States
grid.20861.3d,California Institute of Technology,Pasadena,California,United States
grid.21106.34,University of Maine,Orono,Maine,United States
grid.21107.35,Johns Hopkins University,Baltimore,Maryland,United States
grid.21729.3f,Columbia University,New York,New York,United States
grid.21925.3d,University of Pittsburgh,Pittsburgh,Pennsylvania,United States
grid.21940.3e,Rice University,Houston,Texas,United States
grid.22448.38,George Mason University,Fairfax,Virginia,United States
grid.24434.35,University of Nebraska–Lincoln,Lincoln,Nebraska,United States
grid.24805.3b,New Mexico State University,Las Cruces,New Mexico,United States
grid.24827.3b,University of Cincinnati,Cincinnati,Ohio,United States
grid.25879.31,University of Pennsylvania,Philadelphia,Pennsylvania,United States
grid.26009.3d,Duke University,Durham,North Carolina,United States
grid.26090.3d,Clemson University,Clemson,South Carolina,United States
grid.26790.3a,University of Miami,Coral Gables,Florida,United States
grid.27235.31,United States Department of Health and Human Services,Washington D.C.,District of Columbia,United States
grid.27324.30,American Association For The Advancement of Science,Washington D.C.,District of Columbia,United States
grid.27755.32,University of Virginia,Charlottesville,Virginia,United States
grid.27860.3b,"University of California, Davis",Davis,California,United States
grid.27873.39,Battelle,Columbus,Ohio,United States
grid.28203.3b,Simmons University,Boston,Massachusetts,United States
grid.28803.31,University of Wisconsin System,Madison,Wisconsin,United States
grid.29857.31,Pennsylvania State University,State College,Pennsylvania,United States
grid.30064.31,Washington State University,Pullman,Washington,United States
grid.30389.31,University of California System,Oakland,California,United States
grid.30760.32,Medical College of Wisconsin,Milwaukee,Wisconsin,United States
grid.32224.35,Massachusetts General Hospital,Boston,Massachusetts,United States
grid.32348.3e,Kitware,New York,New York,United States
grid.33489.35,University of Delaware,Newark,Delaware,United States
grid.33647.35,Rensselaer Polytechnic Institute,Troy,New York,United States
