city,state_id,population
New York,NY,18713220.0
Los Angeles,CA,12750807.0
Chicago,IL,8604203.0
Miami,FL,6445545.0
Dallas,TX,5743938.0
Philadelphia,PA,5649300.0
Houston,TX,5464251.0
Atlanta,GA,5449398.0
Washington,DC,5379184.0
Boston,MA,4688346.0
Phoenix,AZ,4219697.0
Seattle,WA,3789215.0
San Francisco,CA,3592294.0
Detroit,MI,3506126.0
San Diego,CA,3220118.0
Minneapolis,MN,2977172.0
Tampa,FL,2908063.0
Denver,CO,2876625.0
Brooklyn,NY,2559903.0
Queens,NY,2230722.0
Riverside,CA,2107852.0
Baltimore,MD,2106068.0
Las Vegas,NV,2104198.0
Portland,OR,2074775.0
San Antonio,TX,2049293.0
St. Louis,MO,2024074.0
Sacramento,CA,1898019.0
Orlando,FL,1822394.0
San Jose,CA,1798103.0
Cleveland,OH,1710093.0
Pittsburgh,PA,1703266.0
Austin,TX,1687311.0
Cincinnati,OH,1662691.0
Kansas City,MO,1636715.0
Manhattan,NY,1628706.0
Indianapolis,IN,1588961.0
Columbus,OH,1562009.0
Charlotte,NC,1512923.0
Virginia Beach,VA,1478868.0
Bronx,NY,1418207.0
Milwaukee,WI,1365787.0
Providence,RI,1203230.0
Jacksonville,FL,1181496.0
Salt Lake City,UT,1098526.0
Nashville,TN,1081903.0
Richmond,VA,1075798.0
Memphis,TN,1066967.0
Raleigh,NC,1038738.0
New Orleans,LA,1020886.0
Louisville,KY,1005654.0
Oklahoma City,OK,972943.0
Bridgeport,CT,924449.0
Buffalo,NY,914341.0
Fort Worth,TX,909585.0
Hartford,CT,905152.0
Tucson,AZ,888486.0
Omaha,NE,847819.0
El Paso,TX,843386.0
Honolulu,HI,820987.0
McAllen,TX,804114.0
Hempstead,NY,768057.0
Albuquerque,NM,761195.0
Birmingham,AL,739573.0
Sarasota,FL,722243.0
Dayton,OH,718353.0
Rochester,NY,703952.0
Fresno,CA,703498.0
Allentown,PA,683794.0
Tulsa,OK,671033.0
Cape Coral,FL,668382.0
Concord,CA,652308.0
Colorado Springs,CO,642413.0
Charleston,SC,628377.0
Springfield,MA,623401.0
